"date (UTC+0)","RH (%)","Temperature (C)","Station Level Pressure (hPa)","MSLP (hPa)"
2020-01-01,92.4458368333333,6.85203876666667,1012.59570513333,1030.9262324453
2020-01-01 01:00:00,88.02883255,6.54228256666667,1012.09661161667,1030.43857828329
2020-01-01 02:00:00,86.4819969333333,6.33956871666667,1011.99725346667,1030.35084112477
2020-01-01 03:00:00,86.1203801833333,6.11938401666667,1011.8683512,1030.2342006731
2020-01-01 04:00:00,85.8566214333333,5.85388711666667,1011.55654925,1029.93437016867
2020-01-01 05:00:00,86.3700079166667,5.60580516666667,1011.52861431667,1029.92242976954
2020-01-01 06:00:00,86.6252286666667,5.21296893333333,1011.41369345,1029.83161235628
2020-01-01 07:00:00,86.5761564,4.7127931,1011.46452358333,1029.91682461114
2020-01-01 08:00:00,87.0775810666667,4.50164295,1011.36697903333,1029.83165524625
2020-01-01 09:00:00,88.6784221666667,4.79386888333333,1011.58813375,1030.03725363518
2020-01-01 10:00:00,88.7323972166667,5.03748435,1011.64927563333,1030.08320904844
2020-01-01 11:00:00,87.8675532333333,5.59743531666667,1011.34844668333,1029.73954729393
2020-01-01 12:00:00,88.3916011166667,5.88674073333333,1010.71588853333,1029.07625490098
2020-01-01 13:00:00,89.6841772833333,5.9211193,1010.07280893333,1028.41921060229
2020-01-01 14:00:00,91.4990812333333,5.97690686666667,1009.54236051667,1027.87542907167
2020-01-01 15:00:00,92.946085,6.05090681666667,1009.55631718333,1027.884736199
2020-01-01 16:00:00,94.9587429333333,6.0684721,1009.6195098,1027.94791265143
2020-01-01 17:00:00,96.9836252166667,6.054964,1009.51991975,1027.84740928123
2020-01-01 18:00:00,99.3241435,5.9948465,1009.3342549,1027.66235564313
2020-01-01 19:00:00,98.4199862333333,6.0652473,1009.1982563,1027.51922656825
2020-01-01 20:00:00,98.1756908,6.30252143333333,1008.6753703,1026.97115956202
2020-01-01 21:00:00,99.4665523833333,6.51806125,1007.99908543333,1026.26839113161
