"date (UTC+0)","[CO]/ppm","[CO2]/ppm","[CH4]/ppm","[H2O]/ppm"
2025-02-01,NA,NA,NA,NA
2025-02-01 01:00:00,NA,NA,NA,NA
2025-02-01 02:00:00,NA,NA,NA,NA
2025-02-01 03:00:00,NA,NA,NA,NA
2025-02-01 04:00:00,NA,NA,NA,NA
2025-02-01 05:00:00,NA,NA,NA,NA
2025-02-01 06:00:00,NA,NA,NA,NA
2025-02-01 07:00:00,NA,NA,NA,NA
2025-02-01 08:00:00,0.740442319570136,465.598710690045,2.16780533088235,7499.23510746606
2025-02-01 09:00:00,0.592798394140516,466.932099084097,2.17737157646406,7864.39205106855
2025-02-01 10:00:00,0.828581329225645,467.076712184291,2.19846395781293,8211.36592284208
2025-02-01 11:00:00,0.725349585387402,463.37414345172,2.1803569145394,8222.98192008879
2025-02-01 12:00:00,0.382739123646961,456.371470441299,2.1256375492645,7934.49174854288
2025-02-01 13:00:00,0.443646305023591,452.744037746323,2.10222133222315,7676.25650013877
2025-02-01 14:00:00,0.417693662042175,451.880216148724,2.09341924250832,7348.18170643729
2025-02-01 15:00:00,0.389823010380239,452.972386344713,2.08979238134888,7063.00894532334
2025-02-01 16:00:00,0.285904069159453,455.789007771302,2.09746885650847,7226.70283374965
2025-02-01 17:00:00,0.281375544246938,456.601580466149,2.11443486403996,7574.20915926748
2025-02-01 18:00:00,0.250590930166042,457.120345545379,2.11820500693866,7798.5798417985
2025-02-01 19:00:00,0.0725168436127273,456.820108243131,2.11652067443797,7922.91491534832
2025-02-01 20:00:00,0.183019519950865,455.848995837958,2.11337220310766,7775.50716426193
2025-02-01 21:00:00,0.2004117049194,454.842107410491,2.10297885928393,7646.34537607549
2025-02-01 22:00:00,0.178949618454012,454.545789897308,2.0985125451013,7455.3205217874
2025-02-01 23:00:00,0.0732347496410804,454.238427580466,2.10451918146504,7388.95473917869
2025-02-02,0.0507657212993631,453.424181515404,2.10459623646961,7335.20620316403
2025-02-02 01:00:00,0.0644584570493671,452.078962531224,2.09283783236192,7135.60282819872
2025-02-02 02:00:00,0.054159817093593,451.915420921199,2.08749331298557,6987.08613207547
2025-02-02 03:00:00,0.0616815284815761,450.866444074382,2.08542906466833,6896.07754648904
2025-02-02 04:00:00,0.0823744072025974,451.119979184013,2.08842717457674,6719.35253955037
2025-02-02 05:00:00,0.083030365,451.092655382908,2.09519491398446,6683.81638734739
2025-02-02 06:00:00,NA,453.335443241743,2.10219975853455,6663.34394116014
